Scenario;Year;Farm;Parcel;Crop;Yield (ton/ha);Area (ha);Revenue (€/ha);Variable cost (€/ha);Energy (MjKgDM/ha);Protein (kg N/ha);PDIN (kg N/ha);Protein (N/ton/ha);Nitrogen (kg/ha);Phosphorus (kg/ha);Potassium (kg/ha);Dose of active ingredient(L/ha)
Baseline situation;2005;AF2;2021_00;OSR;5.17;10.64;1338.77833163392;264;150.1210832;11111.7776;656.59;1044.34;220.24;110;90;4.5
Baseline situation;2005;AF2;2022_00;Hay;5;1.54;342.906311633924;44;90.4190711733333;616;395;400;0;0;0;NA
Baseline situation;2005;AF2;2023_00;Hay;5;3.42;342.906311633924;44;90.4190711733334;1368;395;400;0;0;0;NA
Baseline situation;2005;AF2;2025_00;gMaize;2.93;6.6;503.266711633924;246.4;54.553084;1721.082;202.17;260.77;156.2895;163.685;129.483;2.7164
Baseline situation;2005;AF2;2026_00;Hay;5;2.21;342.906311633924;44;90.4190711733334;884;395;400;0;0;0;NA
Baseline situation;2005;AF2;203_00;Hay;5;1.51;342.906311633924;44;90.4190711733333;604;395;400;0;0;0;NA
Baseline situation;2005;AF2;2030_00;Hay;5;5.41;342.906311633924;44;90.4190711733333;2164;395;400;0;0;0;NA
Baseline situation;2005;AF2;206_00;BarleyW;6.92;6.14;952.805311633924;264;126.8153664;4758.7456;532.84;775.04;122.475;0;0;1.65
Baseline situation;2005;AF2;207_00;Hay;5;1.27;342.906311633924;44;90.4190711733333;508;395;400;0;0;0;NA
Baseline situation;2005;AF2;208_00;Hay;5;2.67;342.906311633924;44;90.4190711733334;1068;395;400;0;0;0;NA
Baseline situation;2005;AF2;209_00;Hay;5;0.5;342.906311633924;44;90.4190711733334;200;395;400;0;0;0;NA
Baseline situation;2005;AF3;501_00;Fodder;7;1.93;267.96;44;133.40684;1621.2;738.5;840;0;0;0;NA
Baseline situation;2005;AF3;501_00;Gpea;4.63;1.93;1032.96883628749;88;84.6552904;2082.0647;680.61;1078.79;12.4839320090909;58.3696337272727;71.2641963636364;7.83906666666667
Baseline situation;2005;AF3;5010_00;Fodder;7;0.45;267.96;44;133.40684;378;738.5;840;0;0;0;NA
Baseline situation;2005;AF3;5010_00;Gpea;4.63;0.45;1032.96883628749;88;84.6552904;485.4555;680.61;1078.79;12.4839320090909;58.3696337272727;71.2641963636364;7.83906666666667
Baseline situation;2005;AF3;5011_00;WheatW;7.49;5.88;862.142711633924;272.8;138.5146672;7178.7156;808.92;1220.87;140.549024703704;5;2.77777777777778;4.68440740740741
Baseline situation;2005;AF3;5011_01;WheatW;7.49;0.83;862.142711633924;272.8;138.5146672;1013.3221;808.92;1220.87;140.549024703704;5;2.77777777777778;4.68440740740741
Baseline situation;2005;AF3;5012_00;WheatW;7.49;15.45;862.142711633924;272.8;138.5146672;18862.4415;808.92;1220.87;140.549024703704;5;2.77777777777778;4.68440740740741
Baseline situation;2005;AF3;5013_00;WheatW;7.49;3.33;862.142711633924;272.8;138.5146672;4065.4971;808.92;1220.87;140.549024703704;5;2.77777777777778;4.68440740740741
Baseline situation;2005;AF3;5014_00;Fodder;7;0.48;267.96;44;133.40684;403.2;738.5;840;0;0;0;NA
Baseline situation;2005;AF3;5014_00;Gpea;4.63;0.48;1032.96883628749;88;84.6552904;517.8192;680.61;1078.79;12.4839320090909;58.3696337272727;71.2641963636364;7.83906666666667
Baseline situation;2005;AF3;502_00;Fodder;7;8.49;267.96;44;133.40684;7131.6;738.5;840;0;0;0;NA
Baseline situation;2005;AF3;502_00;Gpea;4.63;8.49;1032.96883628749;88;84.6552904;9158.9271;680.61;1078.79;12.4839320090909;58.3696337272727;71.2641963636364;7.83906666666667
Baseline situation;2005;AF3;503_00;Fodder;7;4.68;267.96;44;133.40684;3931.2;738.5;840;0;0;0;NA
Baseline situation;2005;AF3;503_00;Gpea;4.63;4.68;1032.96883628749;88;84.6552904;5048.7372;680.61;1078.79;12.4839320090909;58.3696337272727;71.2641963636364;7.83906666666667
Baseline situation;2005;AF3;504_00;Fodder;7;1.09;267.96;44;133.40684;915.6;738.5;840;0;0;0;NA
Baseline situation;2005;AF3;504_00;Gpea;4.63;1.09;1032.96883628749;88;84.6552904;1175.8811;680.61;1078.79;12.4839320090909;58.3696337272727;71.2641963636364;7.83906666666667
Baseline situation;2005;AF3;505_00;WheatW;7.49;10.47;862.142711633924;272.8;138.5146672;12782.5089;808.92;1220.87;140.549024703704;5;2.77777777777778;4.68440740740741
Baseline situation;2005;AF3;506_00;Fodder;7;1.95;267.96;44;133.40684;1638;738.5;840;0;0;0;NA
Baseline situation;2005;AF3;506_00;Gpea;4.63;1.95;1032.96883628749;88;84.6552904;2103.6405;680.61;1078.79;12.4839320090909;58.3696337272727;71.2641963636364;7.83906666666667
Baseline situation;2005;AF3;507_00;Fodder;7;4.14;267.96;44;133.40684;3477.6;738.5;840;0;0;0;NA
Baseline situation;2005;AF3;507_00;Gpea;4.63;4.14;1032.96883628749;88;84.6552904;4466.1906;680.61;1078.79;12.4839320090909;58.3696337272727;71.2641963636364;7.83906666666667
Baseline situation;2005;AF3;507_01;Fodder;7;7.11;267.96;44;133.40684;5972.4;738.5;840;0;0;0;NA
Baseline situation;2005;AF3;507_01;Hemp;5.08;7.11;3913.38007889142;114.4;101.5975616;8126.73;NA;1143;112.60045088;234;130;2.104
Baseline situation;2005;AF3;508_00;WheatW;7.49;8.03;862.142711633924;272.8;138.5146672;9803.5861;808.92;1220.87;140.549024703704;5;2.77777777777778;4.68440740740741
Baseline situation;2005;AF3;509_00;WheatW;7.49;2.21;862.142711633924;272.8;138.5146672;2698.1227;808.92;1220.87;140.549024703704;5;2.77777777777778;4.68440740740741
Baseline situation;2005;AF4;601_00;sMaize;5.94;4.03;551.217049307139;246.4;109.88999705376;2010.8088;308.88;498.96;149.1313135;146.151737894737;216.414001578947;1.93025
Baseline situation;2005;AF4;6010_00;Hay;5;1.43;342.906311633924;44;90.4190711733333;572;395;400;0;0;0;NA
Baseline situation;2005;AF4;6011_00;Hay;5;2.05;342.906311633924;44;90.4190711733334;820;395;400;0;0;0;NA
Baseline situation;2005;AF4;6012_00;Hay;5;1.42;342.906311633924;44;90.4190711733334;568;395;400;0;0;0;NA
Baseline situation;2005;AF4;6013_00;Hay;5;1.67;342.906311633924;44;90.4190711733334;668;395;400;0;0;0;NA
Baseline situation;2005;AF4;6014_00;Hay;5;2.49;342.906311633924;44;90.4190711733334;996;395;400;0;0;0;NA
Baseline situation;2005;AF4;6015_00;sMaize;5.84;2.21;544.837049307139;246.4;108.03999710336;1084.1376;303.68;490.56;213.3;247.5;202.5;1.8145
Baseline situation;2005;AF4;6016_00;Hay;5;1.47;342.906311633924;44;90.4190711733333;588;395;400;0;0;0;NA
Baseline situation;2005;AF4;6017_00;Mix_CerG;7.5;5.44;1628.92883628749;44;135.5616;4814.4;562.5;885;28.014522;26.565495;79.696485;0.919
Baseline situation;2005;AF4;6018_00;Fodder;7.5;3;287.1;44;142.9359;2700;791.25;900;40.8817795555556;0;0;NA
Baseline situation;2005;AF4;6018_00;sMaize;5.82;3;543.561049307139;246.4;107.66999711328;1466.64;302.64;488.88;149.1313135;146.151737894737;216.414001578947;1.93025
Baseline situation;2005;AF4;6019_00;Hay;5;5.39;342.906311633924;44;90.4190711733334;2156;395;400;0;0;0;NA
Baseline situation;2005;AF4;602_00;Hay;5;1.34;342.906311633924;44;90.4190711733333;536;395;400;0;0;0;NA
Baseline situation;2005;AF4;6020_00;Hay;5;2.55;342.906311633924;44;90.4190711733334;1020;395;400;0;0;0;NA
Baseline situation;2005;AF4;6021_00;sMaize;6.04;8.06;557.597049307139;246.4;111.73999700416;4089.3216;314.08;507.36;149.1313135;146.151737894737;216.414001578947;1.93025
Baseline situation;2005;AF4;60221_00;WheatW;7.5;1.34;863.006311633924;272.8;138.6996;1638.15;810;1222.5;135.922068857143;0;0;4.03028571428571
Baseline situation;2005;AF4;60222_00;WheatW;7.5;1.34;863.006311633924;272.8;138.6996;1638.15;810;1222.5;135.922068857143;0;0;4.03028571428571
Baseline situation;2005;AF4;6023_00;Fodder;7.5;5.68;287.1;44;142.9359;5112;791.25;900;40.8817795555556;0;0;NA
Baseline situation;2005;AF4;6023_00;sMaize;5.82;5.68;543.561049307139;246.4;107.66999711328;2776.8384;302.64;488.88;149.1313135;146.151737894737;216.414001578947;1.93025
Baseline situation;2005;AF4;6024_00;Hay;5;2.78;342.906311633924;44;90.4190711733333;1112;395;400;0;0;0;NA
Baseline situation;2005;AF4;6025_00;Fodder;7.5;9.15;287.1;44;142.9359;8235;791.25;900;40.8817795555556;0;0;NA
Baseline situation;2005;AF4;6025_00;sMaize;5.82;9.15;543.561049307139;246.4;107.66999711328;4473.252;302.64;488.88;149.1313135;146.151737894737;216.414001578947;1.93025
Baseline situation;2005;AF4;6026_00;Fodder;7.5;5.57;287.1;44;142.9359;5013;791.25;900;40.8817795555556;0;0;NA
Baseline situation;2005;AF4;6026_00;sMaize;5.82;5.57;543.561049307139;246.4;107.66999711328;2723.0616;302.64;488.88;149.1313135;146.151737894737;216.414001578947;1.93025
Baseline situation;2005;AF4;6027_00;Fodder;7.5;1.93;287.1;44;142.9359;1737;791.25;900;40.8817795555556;0;0;NA
Baseline situation;2005;AF4;6027_00;sMaize;5.82;1.93;543.561049307139;246.4;107.66999711328;943.5384;302.64;488.88;149.1313135;146.151737894737;216.414001578947;1.93025
Baseline situation;2005;AF4;603_00;Fodder;7.5;3.44;287.1;44;142.9359;3096;791.25;900;40.8817795555556;0;0;NA
Baseline situation;2005;AF4;603_00;sMaize;5.63;3.44;531.439049307139;246.4;104.15499720752;1626.8448;292.76;472.92;149.1313135;146.151737894737;216.414001578947;1.93025
Baseline situation;2005;AF4;604_00;WheatW;7.5;6.16;863.006311633924;272.8;138.6996;7530.6;810;1222.5;106.255032;0;0;4.557
Baseline situation;2005;AF4;605_00;Fodder;7.5;2.47;287.1;44;142.9359;2223;791.25;900;40.8817795555556;0;0;NA
Baseline situation;2005;AF4;605_00;sMaize;5.63;2.47;531.439049307139;246.4;104.15499720752;1168.1124;292.76;472.92;149.1313135;146.151737894737;216.414001578947;1.93025
Baseline situation;2005;AF4;606_00;Hay;5;5.21;342.906311633924;44;90.4190711733334;2084;395;400;0;0;0;NA
Baseline situation;2005;AF4;607_00;Hay;5;1.13;342.906311633924;44;90.4190711733333;452;395;400;0;0;0;NA
Baseline situation;2005;AF4;6098_00;Hay;5;1.01;342.906311633924;44;90.4190711733333;404;395;400;0;0;0;NA
Baseline situation;2005;AF4;6099_00;Hay;5;1.65;342.906311633924;44;90.4190711733334;660;395;400;0;0;0;NA
Baseline situation;2005;AF5;801_00;Hay;5;2.25;342.906311633924;44;90.4190711733333;900;395;400;0;0;0;NA
Baseline situation;2005;AF5;8011_00;WheatW;7.47;1.44;860.415511633924;272.8;138.1448016;1753.3584;806.76;1217.61;149.33959;38.83439;19.417195;17.4346
Baseline situation;2005;AF5;8012_00;WheatW;7.47;5.97;860.415511633924;272.8;138.1448016;7269.1317;806.76;1217.61;190.8355376;28.917;14.4585;12.27482
Baseline situation;2005;AF5;8014_00;Hay;5;1.86;342.906311633924;44;90.4190711733334;744;395;400;0;0;0;NA
Baseline situation;2005;AF5;8016_00;WheatW;5.99;1.46;732.602711633924;272.8;110.7747472;1425.5002;646.92;976.37;187.517174;15.75;7.875;10.3998
Baseline situation;2005;AF5;8017_00;Flax;2.72;8.92;887.282311633924;193.6;73.404096;5483.3024;394.4;614.72;46.396026;24.528;12.264;3.53938
Baseline situation;2005;AF5;8018_00;Fodder;6.99;6.6;267.5772;44;133.2162588;5536.08;737.445;838.8;0;0;0;NA
Baseline situation;2005;AF5;8019_00;WheatW;6.4;4.4;768.010311633924;272.8;118.356992;4590.08;691.2;1043.2;187.517174;15.75;7.875;10.3998
Baseline situation;2005;AF5;802_00;Hay;5;1.69;342.906311633924;44;90.4190711733333;676;395;400;0;0;0;NA
Baseline situation;2005;AF5;8020_00;WheatW;6.4;8.72;768.010311633924;272.8;118.356992;9096.704;691.2;1043.2;187.517174;15.75;7.875;10.3998
Baseline situation;2005;AF5;8021_00;Tritic;7.47;8.45;999.805711633924;264;135.0193536;7258.9725;560.25;859.05;161.2595;23.94;11.97;7.193
Baseline situation;2005;AF5;8022_00;Hay;5;6.2;342.906311633924;44;90.4190711733334;2480;395;400;0;0;0;NA
Baseline situation;2005;AF5;8023_00;Hay;5;3.81;342.906311633924;44;90.4190711733334;1524;395;400;0;0;0;NA
Baseline situation;2005;AF5;8024_00;WheatW;6.4;4.38;768.010311633924;272.8;118.356992;4569.216;691.2;1043.2;187.517174;15.75;7.875;10.3998
Baseline situation;2005;AF5;8025_00;Hay;5;1.04;342.906311633924;44;90.4190711733333;416;395;400;0;0;0;NA
Baseline situation;2005;AF5;8026_00;Flax;2.85;5.29;919.398811633924;193.6;76.91238;3407.289;413.25;644.1;46.396026;24.528;12.264;3.53938
Baseline situation;2005;AF5;8027_00;WheatW;7.5;4.71;863.006311633924;272.8;138.6996;5757.975;810;1222.5;190.8355376;28.917;14.4585;12.27482
Baseline situation;2005;AF5;8028_00;WheatW;7.5;3.26;863.006311633924;272.8;138.6996;3985.35;810;1222.5;149.33959;38.83439;19.417195;17.4346
Baseline situation;2005;AF5;8029_00;WheatW;7.5;7.22;863.006311633924;272.8;138.6996;8826.45;810;1222.5;190.8355376;28.917;14.4585;12.27482
Baseline situation;2005;AF5;803_00;WheatW;5.99;5.96;732.602711633924;272.8;110.7747472;5819.1652;646.92;976.37;185.330373714286;36.26304;18.13152;11.1373714285714
Baseline situation;2005;AF5;8030_00;Tritic;7.5;3.96;1002.95631163392;264;135.5616;3415.5;562.5;862.5;161.2595;23.94;11.97;7.193
Baseline situation;2005;AF5;8031_00;Tritic;7.5;3.92;1002.95631163392;264;135.5616;3381;562.5;862.5;161.2595;23.94;11.97;7.193
Baseline situation;2005;AF5;8032_00;Flax;3.95;7.12;1191.15381163392;193.6;106.59786;6356.024;572.75;892.7;46.396026;24.528;12.264;3.53938
Baseline situation;2005;AF5;8033_00;Hay;5;1.37;342.906311633924;44;90.4190711733334;548;395;400;0;0;0;NA
Baseline situation;2005;AF5;8034_00;Hay;5;2.53;342.906311633924;44;90.4190711733333;1012;395;400;0;0;0;NA
Baseline situation;2005;AF5;804_00;Hay;5;0.31;342.906311633924;44;90.4190711733334;124;395;400;0;0;0;NA
Baseline situation;2005;AF5;804_01;Hay;5;2.07;342.906311633924;44;90.4190711733333;828;395;400;0;0;0;NA
Baseline situation;2005;AF5;805_00;Flax;2.72;7.58;887.282311633924;193.6;73.404096;4659.5776;394.4;614.72;37.41213;0;0;0.535
Baseline situation;2005;AF5;806_00;Hay;5;6.17;342.906311633924;44;90.4190711733333;2468;395;400;0;0;0;NA
Baseline situation;2005;AF5;807_00;WheatW;7.47;3.02;860.415511633924;272.8;138.1448016;3677.1822;806.76;1217.61;190.8355376;28.917;14.4585;12.27482
Baseline situation;2005;AF5;808_00;Hay;5;2.21;342.906311633924;44;90.4190711733334;884;395;400;0;0;0;NA
Baseline situation;2005;AF5;808_01;Hay;5;1.2;342.906311633924;44;90.4190711733334;480;395;400;0;0;0;NA
Baseline situation;2005;AF5;809_00;Hay;5;0.05;342.906311633924;44;90.4190711733333;20;395;400;0;0;0;NA
Baseline situation;2005;AF5;809_01;Hay;5;0.41;342.906311633924;44;90.4190711733333;164;395;400;0;0;0;NA
Baseline situation;2005;AF5;809_02;Hay;5;0.76;342.906311633924;44;90.4190711733333;304;395;400;0;0;0;NA
Baseline situation;2005;AF5;8094_00;Hay;5;0.05;342.906311633924;44;90.4190711733333;20;395;400;0;0;0;NA
Baseline situation;2005;AF5;8095_00;Hay;5;0.21;342.906311633924;44;90.4190711733334;84;395;400;0;0;0;NA
Baseline situation;2005;AF5;8096_00;Hay;5;0.73;342.906311633924;44;90.4190711733334;292;395;400;0;0;0;NA
Baseline situation;2005;AF5;8098_00;Hay;5;0.09;342.906311633924;44;90.4190711733334;36;395;400;0;0;0;NA
Baseline situation;2005;AF5;8099_00;Hay;5;0.49;342.906311633924;44;90.4190711733334;196;395;400;0;0;0;NA
Baseline situation;2005;LF1;301_00;Hay;5;20.63;342.906311633924;44;90.4190711733333;8252;395;400;30.1890043793103;17.0592048275862;59.4145131034483;2.5
Baseline situation;2005;LF1;3010_00;Hay;5;2.06;342.906311633924;44;90.4190711733334;824;395;400;30.1890043793103;17.0592048275862;59.4145131034483;2.5
Baseline situation;2005;LF1;3011_00;WheatW;6.37;3.16;765.419511633924;272.8;117.8021936;3281.0596;687.96;1038.31;129.200662666667;2.3;8;4.02173333333333
Baseline situation;2005;LF1;3012_00;Fodder;5;7.87;191.4;44;95.2906;4722;527.5;600;98.8942369677419;14.5719258064516;48.0106387096774;NA
Baseline situation;2005;LF1;3012_00;sMaize;14.76;7.87;1113.93304930714;246.4;273.05999267904;9757.5408;767.52;1239.84;101.18983742;93.8160956;327.193376;1.3528
Baseline situation;2005;LF1;3014_00;Hay;5;4.72;342.906311633924;44;90.4190711733334;1888;395;400;30.1890043793103;17.0592048275862;59.4145131034483;2.5
Baseline situation;2005;LF1;3015_00;Hay;5;2;342.906311633924;44;90.4190711733334;800;395;400;30.1890043793103;17.0592048275862;59.4145131034483;2.5
Baseline situation;2005;LF1;3016_00;Hay;5;3.97;342.906311633924;44;90.4190711733334;1588;395;400;30.1890043793103;17.0592048275862;59.4145131034483;2.5
Baseline situation;2005;LF1;3017_00;Hay;5;0.94;342.906311633924;44;90.4190711733333;376;395;400;30.1890043793103;17.0592048275862;59.4145131034483;2.5
Baseline situation;2005;LF1;3019_00;Hay;5;3.62;342.906311633924;44;90.4190711733334;1448;395;400;30.1890043793103;17.0592048275862;59.4145131034483;2.5
Baseline situation;2005;LF1;302_00;Hay;5;4.74;406.706311633924;44;90.4190711733334;1896;395;400;0;0;0;NA
Baseline situation;2005;LF1;3022_00;Hay;5;2.92;342.906311633924;44;90.4190711733334;1168;395;400;30.1890043793103;17.0592048275862;59.4145131034483;2.5
Baseline situation;2005;LF1;3024_00;BarleyW;6.59;1.9;917.635561633924;264;120.7678128;1402.352;507.43;738.08;113.079997142857;0;0;4.14242857142857
Baseline situation;2005;LF1;3025_00;WheatW;6.34;2.72;762.828711633924;272.8;117.2473952;2810.9024;684.72;1033.42;129.200662666667;2.3;8;4.02173333333333
Baseline situation;2005;LF1;3026_00;Hay;5;0.67;342.906311633924;44;90.4190711733333;268;395;400;30.1890043793103;17.0592048275862;59.4145131034483;2.5
Baseline situation;2005;LF1;3028_00;WheatW;6.34;3.01;762.828711633924;272.8;117.2473952;3110.5942;684.72;1033.42;129.200662666667;2.3;8;4.02173333333333
Baseline situation;2005;LF1;303_00;Hay;5;2.63;342.906311633924;44;90.4190711733333;1052;395;400;30.1890043793103;17.0592048275862;59.4145131034483;2.5
Baseline situation;2005;LF1;3030_00;BarleyW;6.59;5.1;917.635561633924;264;120.7678128;3764.208;507.43;738.08;113.079997142857;0;0;4.14242857142857
Baseline situation;2005;LF1;3031_00;BarleyW;6.59;4.15;917.635561633924;264;120.7678128;3063.032;507.43;738.08;113.079997142857;0;0;4.14242857142857
Baseline situation;2005;LF1;3032_00;Hay;5;4.67;342.906311633924;44;90.4190711733334;1868;395;400;30.1890043793103;17.0592048275862;59.4145131034483;2.5
Baseline situation;2005;LF1;3034_00;Hay;5;0.8;342.906311633924;44;90.4190711733333;320;395;400;30.1890043793103;17.0592048275862;59.4145131034483;2.5
Baseline situation;2005;LF1;3037_00;Hay;5;3.65;342.906311633924;44;90.4190711733333;1460;395;400;30.1890043793103;17.0592048275862;59.4145131034483;2.5
Baseline situation;2005;LF1;3039_00;Hay;5;1.42;342.906311633924;44;90.4190711733334;568;395;400;30.1890043793103;17.0592048275862;59.4145131034483;2.5
Baseline situation;2005;LF1;3040_00;Hay;5;0.67;406.706311633924;44;90.4190711733333;268;395;400;0;0;0;NA
Baseline situation;2005;LF1;3041_00;Fodder;5;5.23;191.4;44;95.2906;3138;527.5;600;98.8942369677419;14.5719258064516;48.0106387096774;NA
Baseline situation;2005;LF1;3041_00;sMaize;14.8;5.23;1116.48504930714;246.4;273.7999926592;6501.936;769.6;1243.2;101.18983742;93.8160956;327.193376;1.3528
Baseline situation;2005;LF1;3042_00;Hay;5;2.47;342.906311633924;44;90.4190711733334;988;395;400;30.1890043793103;17.0592048275862;59.4145131034483;2.5
Baseline situation;2005;LF1;3043_00;Hay;5;3.34;342.906311633924;44;90.4190711733334;1336;395;400;30.1890043793103;17.0592048275862;59.4145131034483;2.5
Baseline situation;2005;LF1;3044_00;Hay;5;0.28;342.906311633924;44;90.4190711733334;112;395;400;30.1890043793103;17.0592048275862;59.4145131034483;2.5
Baseline situation;2005;LF1;3045_00;Hay;5;1.46;342.906311633924;44;90.4190711733334;584;395;400;30.1890043793103;17.0592048275862;59.4145131034483;2.5
Baseline situation;2005;LF1;307_00;Hay;5;1.94;406.706311633924;44;90.4190711733333;776;395;400;0;0;0;NA
Baseline situation;2005;LF1;309_00;WheatW;6.37;5.79;765.419511633924;272.8;117.8021936;6011.8149;687.96;1038.31;129.200662666667;2.3;8;4.02173333333333
Baseline situation;2005;LF2;401_00;WheatW;7.5;1.41;863.006311633924;272.8;138.6996;1723.725;810;1222.5;153.869240230769;0;0;3.86684615384615
Baseline situation;2005;LF2;4010_00;Hay;5;1.68;342.906311633924;44;90.4190711733334;672;395;400;14.80766;142.78815;79.32675;NA
Baseline situation;2005;LF2;4011_00;Fodder;7.5;4.62;287.1;44;142.9359;4158;791.25;900;0;0;0;NA
Baseline situation;2005;LF2;4011_00;sMaize;8.16;4.62;692.853049307139;246.4;150.95999595264;3166.7328;424.32;685.44;94.75350625;105.156047916667;139.77975625;2.30341666666667
Baseline situation;2005;LF2;4012_00;Fodder;7.5;1.38;287.1;44;142.9359;1242;791.25;900;0;0;0;NA
Baseline situation;2005;LF2;4012_00;sMaize;8.16;1.38;692.853049307139;246.4;150.95999595264;945.9072;424.32;685.44;94.75350625;105.156047916667;139.77975625;2.30341666666667
Baseline situation;2005;LF2;4012_01;Fodder;7.5;1.29;287.1;44;142.9359;1161;791.25;900;0;0;0;NA
Baseline situation;2005;LF2;4012_01;sMaize;8.16;1.29;692.853049307139;246.4;150.95999595264;884.2176;424.32;685.44;94.75350625;105.156047916667;139.77975625;2.30341666666667
Baseline situation;2005;LF2;4013_00;Hay;5;8.58;342.906311633924;44;90.4190711733333;3432;395;400;14.80766;142.78815;79.32675;NA
Baseline situation;2005;LF2;4013_01;Hay;5;0.5;342.906311633924;44;90.4190711733334;200;395;400;14.80766;142.78815;79.32675;NA
Baseline situation;2005;LF2;4014_00;WheatW;7.5;5.27;863.006311633924;272.8;138.6996;6442.575;810;1222.5;153.869240230769;0;0;3.86684615384615
Baseline situation;2005;LF2;4015_00;Tritic;7.5;0.67;1002.95631163392;264;135.5616;577.875;562.5;862.5;99.92500675;0;0;3.136375
